46,8.0,7.0,6.0,11.0,4.0,2.0,,,
47,7.0,2.0,3.0,5.0,3.0,2.0,1.0,,
48,9.0,6.0,6.0,2.0,7.0,3.0,,1.0,
49,4.0,3.0,4.0,2.0,4.0,1.0,,,
50,12.0,15.0,17.0,11.0,5.0,8.0,1.0,,1.0
51,13.0,13.0,15.0,14.0,12.0,2.0,2.0,,
52,11.0,3.0,7.0,5.0,8.0,1.0,2.0,,
53,10.0,10.0,9.0,9.0,3.0,3.0,2.0,,
54,9.0,4.0,5.0,8.0,4.0,,,2.0,
55,12.0,20.0,16.0,13.0,6.0,5.0,,,
56,8.0,7.0,6.0,7.0,6.0,3.0,,,
57,15.0,15.0,17.0,17.0,15.0,1.0,1.0,,
58,10.0,7.0,6.0,2.0,7.0,2.0,1.0,1.0,
59,2.0,,,,,,,,
60,11.0,8.0,5.0,8.0,5.0,4.0,1.0,,
61,5.0,5.0,10.0,7.0,1.0,3.0,,,
62,20.0,22.0,17.0,13.0,11.0,2.0,2.0,1.0,
63,11.0,4.0,7.0,2.0,6.0,2.0,2.0,,
64,4.0,8.0,6.0,5.0,2.0,6.0,,,
65,13.0,12.0,19.0,14.0,12.0,2.0,,,
66,5.0,11.0,5.0,9.0,3.0,2.0,3.0,1.0,
67,8.0,10.0,4.0,5.0,8.0,2.0,2.0,,
68,13.0,16.0,17.0,13.0,6.0,5.0,2.0,,
69,14.0,8.0,11.0,16.0,13.0,3.0,,,
70,16.0,7.0,3.0,7.0,2.0,4.0,1.0,,
71,5.0,4.0,4.0,9.0,7.0,,2.0,,
72,21.0,10.0,15.0,15.0,7.0,4.0,3.0,,
73,17.0,19.0,12.0,14.0,5.0,5.0,4.0,1.0,
74,14.0,20.0,15.0,11.0,8.0,5.0,3.0,1.0,
75,7.0,8.0,3.0,7.0,4.0,3.0,,,
76,10.0,7.0,6.0,5.0,4.0,2.0,,1.0,
77,9.0,5.0,7.0,5.0,6.0,2.0,,,
78,8.0,7.0,3.0,8.0,4.0,2.0,1.0,,
79,2.0,3.0,5.0,6.0,2.0,1.0,1.0,,
80,15.0,11.0,10.0,13.0,9.0,4.0,2.0,,
81,7.0,2.0,5.0,1.0,2.0,,2.0,,
82,17.0,12.0,17.0,14.0,14.0,3.0,,,
83,4.0,5.0,4.0,2.0,2.0,1.0,2.0,,
84,4.0,10.0,6.0,7.0,3.0,5.0,1.0,,
85,9.0,16.0,14.0,15.0,10.0,2.0,1.0,1.0,
86,17.0,15.0,17.0,17.0,5.0,2.0,3.0,,
87,17.0,10.0,14.0,15.0,8.0,5.0,3.0,,
88,13.0,12.0,11.0,10.0,6.0,7.0,2.0,1.0,
89,5.0,6.0,7.0,7.0,2.0,5.0,,,
90,12.0,8.0,14.0,13.0,8.0,3.0,,2.0,
91,10.0,4.0,8.0,4.0,4.0,2.0,2.0,,
92,14.0,5.0,7.0,4.0,6.0,3.0,1.0,1.0,
93,17.0,15.0,13.0,10.0,5.0,3.0,3.0,,
94,14.0,14.0,20.0,14.0,16.0,10.0,,,
95,4.0,6.0,7.0,3.0,1.0,1.0,,1.0,
96,14.0,16.0,12.0,18.0,8.0,4.0,,,
97,18.0,14.0,23.0,12.0,9.0,2.0,,,
98,6.0,7.0,4.0,6.0,6.0,2.0,,,
99,10.0,17.0,16.0,14.0,12.0,5.0,,,
