,num_buildings,num_destinations,trace_strength,agents_vision_angle,agent_vision_samples,Run,Avg_raster_value
1817,79,9,97,20.390625,10,17.0,18.25930155105148
1818,79,3,40,87.421875,10,18.0,184.55675066021126
1819,73,9,40,87.421875,10,19.0,13.402513398632415
1820,73,3,97,87.421875,10,20.0,167.21407073954984
1821,73,3,40,20.390625,10,21.0,57.819351861347556
1822,73,3,40,87.421875,12,22.0,187.2816336827942
1823,73,3,40,87.421875,10,23.0,214.63749285692802
1824,92,4,29,82.265625,9,24.0,69.26939452337203
1825,60,4,29,82.265625,9,25.0,69.16273377972755
1826,92,8,29,82.265625,9,26.0,131.87919585744746
1827,92,4,18,82.265625,9,27.0,35.83468273394841
1828,92,4,29,66.796875,9,28.0,32.72650853642643
1829,92,4,29,82.265625,13,29.0,130.3624547395785
1830,92,8,18,66.796875,13,30.0,28.20194934194189
1831,60,4,18,66.796875,13,31.0,23.928122734960134
1832,60,8,29,66.796875,13,32.0,27.129030276975985
1833,60,8,18,82.265625,13,33.0,27.516644393147857
1834,60,8,18,66.796875,9,34.0,33.362838287824665
1835,60,8,18,66.796875,13,35.0,29.983743494184925
1836,67,8,74,41.015625,3,36.0,198.06023580996177
1837,85,8,74,41.015625,3,37.0,84.17908989861564
1838,67,4,74,41.015625,3,38.0,201.77987925415397
1839,67,8,63,41.015625,3,39.0,193.86677851469315
1840,67,8,74,25.546875,3,40.0,220.5885760165166
1841,67,8,74,41.015625,7,41.0,171.56777508539398
1842,67,4,63,25.546875,7,42.0,211.45806254513136
1843,85,8,63,25.546875,7,43.0,198.92327725956045
1844,85,4,74,25.546875,7,44.0,149.26041891018738
1845,85,4,63,41.015625,7,45.0,90.67324426173347
1846,85,4,63,25.546875,3,46.0,211.29957418385237
1847,85,4,63,25.546875,7,47.0,195.7914232081009
1848,73,3,85,30.703125,4,48.0,89.13622239851911
1849,92,3,85,30.703125,4,49.0,288.41153645833333
1850,73,9,85,30.703125,4,50.0,86.49769319492503
1851,73,3,29,30.703125,4,51.0,94.44312540470537
1852,73,3,85,56.484375,4,52.0,285.3401613109717
1853,73,3,85,30.703125,9,53.0,63.81833412088148
1854,73,9,29,56.484375,9,54.0,91.7807066741447
1855,92,3,29,56.484375,9,55.0,228.5582880949375
1856,92,9,85,56.484375,9,56.0,213.06420144645475
1857,92,9,29,30.703125,9,57.0,217.8347526060784
1858,92,9,29,56.484375,4,58.0,64.04246070079915
1859,92,9,29,56.484375,9,59.0,240.510429802438
1860,98,7,40,71.953125,10,60.0,118.53031986433542
1861,67,7,40,71.953125,10,61.0,273.1635384730427
1862,98,5,40,71.953125,10,62.0,272.0510000246615
1863,98,7,74,71.953125,10,63.0,30.68089729660638
1864,98,7,40,15.234375,10,64.0,94.89656508719393
1865,98,7,40,71.953125,3,65.0,114.18388543551814
1866,98,5,74,15.234375,3,66.0,251.1423989136288
1867,67,7,74,15.234375,3,67.0,124.00173491669409
1868,67,5,40,15.234375,3,68.0,133.0530190085725
1869,67,5,74,71.953125,3,69.0,28.667953667953668
1870,67,5,74,15.234375,10,70.0,145.81713371219544
1871,67,5,74,15.234375,3,71.0,293.4270197415365
1872,85,5,63,10.078125,13,72.0,190.490912150791
1873,54,5,63,10.078125,13,73.0,14.180524132730016
1874,85,7,63,10.078125,13,74.0,174.18897617039224
1875,85,5,97,10.078125,13,75.0,14.425122595247077
1876,85,5,63,35.859375,13,76.0,15.20193159666844
1877,85,5,63,10.078125,6,77.0,41.49555880917521
1878,85,7,97,35.859375,6,78.0,52.13469647935668
1879,54,5,97,35.859375,6,79.0,50.303912141302696
1880,54,7,63,35.859375,6,80.0,136.14821372476226
1881,54,7,97,10.078125,6,81.0,47.04119135124815
1882,54,7,97,35.859375,13,82.0,147.00972513393896
1883,54,7,97,35.859375,6,83.0,18.725006923289946
1884,60,8,18,51.328125,7,84.0,272.5469370532168
1885,79,8,18,51.328125,7,85.0,186.4320645402442
1886,60,4,18,51.328125,7,86.0,175.8925875289782
1887,60,8,52,51.328125,7,87.0,155.20509151773663
1888,60,8,18,77.109375,7,88.0,220.96738941387906
1889,60,8,18,51.328125,12,89.0,153.9141238957238
1890,60,4,52,77.109375,12,90.0,176.7657253452978
1891,79,8,52,77.109375,12,91.0,155.5423645855993
1892,79,4,18,77.109375,12,92.0,154.31191088260496
1893,79,4,52,51.328125,12,93.0,200.62884687684624
1894,79,4,52,77.109375,7,94.0,151.37580510415825
1895,79,4,52,77.109375,12,95.0,269.08579874368763
1896,57,4,57,77.109375,13,96.0,63.565809901673276
1897,82,4,57,77.109375,13,97.0,231.3350656665216
1898,57,9,57,77.109375,13,98.0,52.93711057572485
1899,57,4,24,77.109375,13,99.0,29.28978829389788
1900,57,4,57,51.328125,13,100.0,54.56874241811565
1901,57,4,57,77.109375,8,101.0,58.57781862745098
1902,57,9,24,51.328125,8,102.0,27.445733870482833
1903,82,4,24,51.328125,8,103.0,66.69565023421816
1904,82,9,57,51.328125,8,104.0,228.30018096817977
1905,82,9,24,77.109375,8,105.0,57.13987158504344
1906,82,9,24,51.328125,13,106.0,57.34833409025226
1907,82,9,24,51.328125,8,107.0,56.84860118439861
1908,82,7,12,35.859375,7,108.0,81.12563283996002
1909,57,7,12,35.859375,7,109.0,193.27184440467417
1910,82,6,12,35.859375,7,110.0,203.74072440213607
1911,82,7,69,35.859375,7,111.0,217.57013794443364
1912,82,7,12,10.078125,7,112.0,223.0274286854179
1913,82,7,12,35.859375,14,113.0,95.0339710352226
1914,82,6,69,10.078125,14,114.0,185.56592446234515
1915,57,7,69,10.078125,14,115.0,93.75990307627475
1916,57,6,12,10.078125,14,116.0,117.51774536349609
1917,57,6,69,35.859375,14,117.0,234.25353935149946
1918,57,6,69,10.078125,7,118.0,110.70545058347908
1919,57,6,69,10.078125,14,119.0,88.45458516751235
1920,54,6,52,61.640625,6,0.0,131.23766305685453
1921,98,6,52,61.640625,6,1.0,277.8377067086646
1922,54,6,52,61.640625,6,2.0,133.44388972619944
1923,54,6,85,61.640625,6,3.0,226.63047486172704
1924,54,6,52,46.171875,6,4.0,122.6259285254723
1925,54,6,52,61.640625,4,5.0,133.6317026994015
1926,54,6,85,46.171875,4,6.0,226.76218733568692
1927,98,6,85,46.171875,4,7.0,156.36424410540914
1928,98,6,52,46.171875,4,8.0,262.0328971327296
1929,98,6,85,61.640625,4,9.0,274.9014747173248
1930,98,6,85,46.171875,6,10.0,263.0602517985611
1931,98,6,85,46.171875,4,11.0,182.00537897310514
1932,79,9,97,20.390625,12,12.0,166.0569254658385
1933,73,9,97,20.390625,12,13.0,133.16294235039493
1934,79,3,97,20.390625,12,14.0,151.19811432287048
1935,79,9,40,20.390625,12,15.0,191.35325861353257
1936,79,9,97,87.421875,12,16.0,49.37373040134109
1937,79,9,97,20.390625,10,17.0,15.113795581102927
1938,79,3,40,87.421875,10,18.0,178.4797405054737
1939,73,9,40,87.421875,10,19.0,16.900506351603447
1940,73,3,97,87.421875,10,20.0,218.01767282305738
1941,73,3,40,20.390625,10,21.0,51.34713066584905
1942,73,3,40,87.421875,12,22.0,185.084255342228
1943,73,3,40,87.421875,10,23.0,204.51059656928751
1944,92,4,29,82.265625,9,24.0,60.549277878954726
1945,60,4,29,82.265625,9,25.0,55.114216131429046
1946,92,8,29,82.265625,9,26.0,123.60428443915501
1947,92,4,18,82.265625,9,27.0,29.46579366050667
1948,92,4,29,66.796875,9,28.0,29.48197367584409
1949,92,4,29,82.265625,13,29.0,126.93110910730388
1950,92,8,18,66.796875,13,30.0,31.000255868995076
1951,60,4,18,66.796875,13,31.0,31.088398141666136
1952,60,8,29,66.796875,13,32.0,31.566998168018845
1953,60,8,18,82.265625,13,33.0,31.974009824037804
1954,60,8,18,66.796875,9,34.0,25.89042112423474
1955,60,8,18,66.796875,13,35.0,28.00198896445528
1956,67,8,74,41.015625,3,36.0,217.2709286367795
