,num_buildings,Run,Avg_raster_value,num_destinations,trace_strength,agent_vision_angle,agent_vision_samples
254,90.0,14,95.30112596762844,,,,
314,100.0,14,95.36680034374105,,,,
164,75.0,14,98.55917445985166,,,,
74,60.0,14,89.90966741340686,,,,
44,55.0,14,105.12278706546874,,,,
104,65.0,14,90.2042419758306,,,,
134,70.0,14,111.65161094915382,,,,
14,50.0,14,99.49182566203154,,,,
135,70.0,15,84.5897108271688,,,,
285,95.0,15,92.84076367032131,,,,
15,50.0,15,109.4768676597501,,,,
75,60.0,15,91.37226553109653,,,,
45,55.0,15,106.54570092070092,,,,
195,80.0,15,103.08415480102227,,,,
105,65.0,15,99.50952466367713,,,,
165,75.0,15,98.97580027010257,,,,
255,90.0,15,96.46937253648663,,,,
225,85.0,15,100.64765479791538,,,,
315,100.0,15,89.74618973561431,,,,
256,90.0,16,88.86419206538396,,,,
106,65.0,16,102.1977496584945,,,,
16,50.0,16,95.33234359171412,,,,
76,60.0,16,97.83178442130408,,,,
196,80.0,16,101.60984302995392,,,,
226,85.0,16,92.50533857825232,,,,
136,70.0,16,98.35022034323386,,,,
316,100.0,16,88.16763887946823,,,,
166,75.0,16,109.20291898483347,,,,
46,55.0,16,93.02559048310682,,,,
286,95.0,16,97.22939068100358,,,,
77,60.0,17,117.33194841845334,,,,
317,100.0,17,92.5673325417336,,,,
168,75.0,17,86.24946977730647,,,,
227,85.0,17,92.28020034324543,,,,
257,90.0,17,86.52709023249463,,,,
287,95.0,17,80.83221498265746,,,,
197,80.0,17,92.79602811950791,,,,
137,70.0,17,97.7606352400115,,,,
47,55.0,17,106.30831018692291,,,,
17,50.0,17,89.6824507689096,,,,
107,65.0,17,110.55438327258776,,,,
18,50.0,18,146.99355263157895,,,,
167,75.0,18,96.59132509526015,,,,
78,60.0,18,104.2140141632501,,,,
138,70.0,18,104.22917132008041,,,,
288,95.0,18,96.48522395499538,,,,
228,85.0,18,96.25883762732175,,,,
198,80.0,18,92.10361825214801,,,,
48,55.0,18,105.50190739771112,,,,
108,65.0,18,96.16821768514914,,,,
318,100.0,18,108.67219744500719,,,,
258,90.0,18,93.61879958606416,,,,
319,100.0,19,92.59014490714688,,,,
109,65.0,19,96.75007851484803,,,,
169,75.0,19,92.80520222952694,,,,
79,60.0,19,99.13926247288504,,,,
19,50.0,19,95.61084091069289,,,,
289,95.0,19,97.12804963544588,,,,
199,80.0,19,92.28688754738172,,,,
229,85.0,19,93.74601244049067,,,,
49,55.0,19,110.97073943798075,,,,
139,70.0,19,92.4014286714756,,,,
259,90.0,19,96.21174491840824,,,,
20,50.0,20,113.22744978232643,,,,
320,100.0,20,90.6289392841117,,,,
140,70.0,20,101.25916861349056,,,,
110,65.0,20,97.89705240174672,,,,
170,75.0,20,102.44325434670971,,,,
260,90.0,20,100.14579898134916,,,,
290,95.0,20,99.41852654387866,,,,
200,80.0,20,98.1258566300446,,,,
50,55.0,20,103.48290629845677,,,,
80,60.0,20,116.68955108359133,,,,
230,85.0,20,96.7272170151406,,,,
21,50.0,21,104.77095574563035,,,,
111,65.0,21,114.42732580471692,,,,
321,100.0,21,91.03043211559432,,,,
261,90.0,21,92.51320154356509,,,,
81,60.0,21,97.07542605430388,,,,
201,80.0,21,114.36603641728462,,,,
141,70.0,21,83.37774086378738,,,,
291,95.0,21,93.7586746401502,,,,
171,75.0,21,98.028016932128,,,,
231,85.0,21,101.16012649130373,,,,
51,55.0,21,102.36737190558433,,,,
262,90.0,22,103.15785636164783,,,,
52,55.0,22,103.87448377581121,,,,
292,95.0,22,101.5720516082137,,,,
82,60.0,22,84.44125080028304,,,,
202,80.0,22,83.17591389249891,,,,
172,75.0,22,102.44307285352144,,,,
142,70.0,22,102.26187630714072,,,,
22,50.0,22,94.83943927847305,,,,
232,85.0,22,103.34599404346068,,,,
112,65.0,22,131.60813536992055,,,,
322,100.0,22,83.78322769057179,,,,
23,50.0,23,104.20737174775834,,,,
293,95.0,23,99.44580886278698,,,,
173,75.0,23,92.95163855088495,,,,
143,70.0,23,100.72909723228517,,,,
323,100.0,23,94.38138075313807,,,,
83,60.0,23,102.37398822663724,,,,
203,80.0,23,100.21428831784218,,,,
53,55.0,23,103.0556214333358,,,,
263,90.0,23,98.05625112107623,,,,
233,85.0,23,97.66426919184617,,,,
113,65.0,23,85.76121141525917,,,,
295,95.0,24,101.31155450752766,,,,
144,70.0,24,108.3888159621948,,,,
234,85.0,24,91.2793772957845,,,,
324,100.0,24,90.96245087029759,,,,
114,65.0,24,102.50623487126825,,,,
54,55.0,24,93.63453188602442,,,,
84,60.0,24,111.45430319408474,,,,
24,50.0,24,98.45098248611704,,,,
264,90.0,24,79.38628019323671,,,,
174,75.0,24,102.37658540151321,,,,
204,80.0,24,93.10058966354492,,,,
115,65.0,25,110.48483570415245,,,,
205,80.0,25,101.4105240503605,,,,
175,75.0,25,89.18717029622616,,,,
145,70.0,25,93.3442584136648,,,,
25,50.0,25,123.63879489583758,,,,
85,60.0,25,108.5022436743467,,,,
235,85.0,25,91.52472061111897,,,,
265,90.0,25,112.35408872260822,,,,
325,100.0,25,96.5520017250054,,,,
55,55.0,25,82.49729241877256,,,,
294,95.0,25,91.4116083916084,,,,
146,70.0,26,92.42570853014726,,,,
296,95.0,26,102.6422755321868,,,,
86,60.0,26,105.28992463159473,,,,
26,50.0,26,112.93618334748052,,,,
326,100.0,26,97.9561400326501,,,,
116,65.0,26,91.23149819494584,,,,
266,90.0,26,98.26753489039572,,,,
176,75.0,26,96.2757664129739,,,,
206,80.0,26,91.49002055104671,,,,
56,55.0,26,98.32758434450726,,,,
236,85.0,26,91.09354089380439,,,,
267,90.0,27,101.6750118091639,,,,
57,55.0,27,99.8253888248848,,,,
27,50.0,27,107.77286417395138,,,,
237,85.0,27,99.67065630084976,,,,
117,65.0,27,95.80402100417206,,,,
297,95.0,27,92.57460097154754,,,,
87,60.0,27,99.00618400115724,,,,
177,75.0,27,100.68821526872374,,,,
327,100.0,27,95.13515849147913,,,,
147,70.0,27,106.68218996389359,,,,
207,80.0,27,85.48695325057282,,,,
148,70.0,28,109.84732795371498,,,,
88,60.0,28,108.47065674782085,,,,
298,95.0,28,89.48767197929438,,,,
328,100.0,28,91.71806167400881,,,,
178,75.0,28,84.67670602361417,,,,
268,90.0,28,99.37580570492504,,,,
58,55.0,28,97.12525338738931,,,,
118,65.0,28,98.94142485924642,,,,
238,85.0,28,99.9710495455878,,,,
28,50.0,28,94.99909838055277,,,,
209,80.0,28,85.66264529465587,,,,
179,75.0,29,95.6244773182473,,,,
119,65.0,29,97.81672572131029,,,,
208,80.0,29,97.03265765765765,,,,
299,95.0,29,97.8358107137728,,,,
239,85.0,29,104.97188472366277,,,,
149,70.0,29,93.15952879760964,,,,
59,55.0,29,100.55979671675624,,,,
269,90.0,29,87.23211291224148,,,,
29,50.0,29,105.29135281711359,,,,
89,60.0,29,92.6502749465868,,,,
329,100.0,29,92.67705402614054,,,,
180,,0,91.95653986451276,9.0,,,
120,,0,91.41450919718068,7.0,,,
150,,0,89.77912646540098,8.0,,,
4,,0,95.64685536810899,3.0,,,
90,,0,91.62087987391214,6.0,,,
210,,0,87.92286026707313,10.0,,,
30,,0,99.03539727213682,4.0,,,
60,,0,102.9404608558752,5.0,,,
91,,1,99.20369346455823,6.0,,,
211,,1,93.77237772992925,10.0,,,
151,,1,95.24726091314416,8.0,,,
31,,1,86.19547118468367,4.0,,,
5,,1,96.55598953667538,3.0,,,
61,,1,81.36632331714998,5.0,,,
181,,1,88.70617241965653,9.0,,,
121,,1,101.28574033552152,7.0,,,
32,,2,99.95101194307374,4.0,,,
92,,2,91.70289805190335,6.0,,,
122,,2,100.47411066491347,7.0,,,
182,,2,89.26490583996193,9.0,,,
152,,2,97.37119400321257,8.0,,,
3,,2,87.29238005007782,3.0,,,
62,,2,101.45730369937125,5.0,,,
212,,2,88.41625649913345,10.0,,,
63,,3,94.6807131836105,5.0,,,
93,,3,100.14968525838091,6.0,,,
213,,3,94.91831258050665,10.0,,,
183,,3,90.1968230413814,9.0,,,
123,,3,88.23000517330574,7.0,,,
153,,3,90.60044211108041,8.0,,,
2,,3,91.95513654096229,3.0,,,
33,,3,86.5701581698459,4.0,,,
64,,4,94.9868969414424,5.0,,,
124,,4,89.95904984944798,7.0,,,
94,,4,85.36625500324998,6.0,,,
214,,4,108.63741418764302,10.0,,,
184,,4,95.04328477557974,9.0,,,
154,,4,95.3674889310563,8.0,,,
34,,4,86.73838025814217,4.0,,,
6,,4,93.53941646794782,3.0,,,
95,,5,96.28216824016124,6.0,,,
125,,5,98.37620989186314,7.0,,,
155,,5,89.82532676964861,8.0,,,
185,,5,96.63949976906953,9.0,,,
65,,5,97.76979211163321,5.0,,,
215,,5,90.77666608966592,10.0,,,
0,,5,94.95364660854773,3.0,,,
35,,5,83.4337980784783,4.0,,,
186,,6,91.4802795460836,9.0,,,
96,,6,97.35124591431483,6.0,,,
66,,6,107.84327231205569,5.0,,,
36,,6,94.70751392119546,4.0,,,
216,,6,88.00292643546705,10.0,,,
126,,6,94.5535059181837,7.0,,,
156,,6,80.72206168729191,8.0,,,
1,,6,99.64325255709939,3.0,,,
217,,7,91.97022175290391,10.0,,,
127,,7,93.9879840262426,7.0,,,
187,,7,100.21141513467293,9.0,,,
67,,7,97.64314125805203,5.0,,,
97,,7,89.8488600230025,6.0,,,
37,,7,98.83402295542042,4.0,,,
157,,7,86.74390202530786,8.0,,,
8,,7,101.20128719673139,3.0,,,
38,,8,89.15686274509804,4.0,,,
218,,8,109.03195988174096,10.0,,,
188,,8,92.73263397632769,9.0,,,
128,,8,86.2277985766805,7.0,,,
68,,8,94.5336248178222,5.0,,,
158,,8,104.33002552763097,8.0,,,
7,,8,107.66713133900987,3.0,,,
98,,8,86.27957762594397,6.0,,,
129,,9,98.58639450944135,7.0,,,
189,,9,84.06803305785124,9.0,,,
159,,9,105.83396823115072,8.0,,,
9,,9,99.931722536642,3.0,,,
99,,9,88.2501016397886,6.0,,,
69,,9,91.48983654652137,5.0,,,
219,,9,91.34432369169035,10.0,,,
39,,9,82.19272255143485,4.0,,,
40,,10,88.31182832383746,4.0,,,
10,,10,91.06127494260993,3.0,,,
220,,10,87.24153191489361,10.0,,,
100,,10,90.78498628652693,6.0,,,
190,,10,87.12035500152435,9.0,,,
160,,10,102.11153458938588,8.0,,,
70,,10,105.12465313275887,5.0,,,
130,,10,92.22326356346974,7.0,,,
101,,11,92.94941463084523,6.0,,,
131,,11,93.23503990520337,7.0,,,
11,,11,99.38727948338685,3.0,,,
191,,11,100.53212350256703,9.0,,,
71,,11,104.2496385716351,5.0,,,
221,,11,94.48950899989349,10.0,,,
161,,11,89.74306989338298,8.0,,,
41,,11,94.15440155512357,4.0,,,
42,,12,91.13756703550337,4.0,,,
102,,12,86.66476063829788,6.0,,,
192,,12,89.70564265487948,9.0,,,
132,,12,95.67973693565588,7.0,,,
162,,12,97.68572021011889,8.0,,,
222,,12,89.18119457922035,10.0,,,
72,,12,95.90289191173899,5.0,,,
12,,12,93.34913535026239,3.0,,,
133,,13,100.52312447109901,7.0,,,
163,,13,99.78518137381013,8.0,,,
13,,13,89.53075091061922,3.0,,,
193,,13,85.27014438751746,9.0,,,
43,,13,98.19450294485097,4.0,,,
73,,13,92.34694451277366,5.0,,,
223,,13,90.22414805096157,10.0,,,
103,,13,92.62365666434054,6.0,,,
74,,14,89.8877465026125,5.0,,,
194,,14,98.4734022062686,9.0,,,
